name,position,tags,citation,email,hindex,iindex,maxyear,minyear
Cédrick Fairon,Professor of linguistics and Natural Language Processing|   Université catholique de Louvain None,NLP| Natural Language Processing| linguistics| sms| texto,1466, uclouvain.be - ,21,40,2020,1998
Chenghua Lin,Senior Lecturer in Natural Language Processing|   University of Sheffield None,Natural language processing| natural language generation| machine learning| text mining,1945, sheffield.ac.uk - ,13,14,2020,2008
Barbara Plank,Associate Professor in Natural Language Processing|   ITU None,Natural Language Processing| Computational Linguistics| Machine Learning| Transfer Learning,2021, itu.dk - ,23,48,2019,2006
Mikko Kurimo,Professor in Speech and Language Processing|   Aalto University |  Finland,speech recognition| machine learning| language modeling,3366, aalto.fi,29,89,2020,1991
Jingbo Zhu,Professor|  Natural language processing lab|   Northeastern University|  China None,Machine Translation| Language Parsing| Natural Language Processing,4125, mail.neu.edu.cn - ,30,79,2020,1981
Max Welling,Professor Machine Learning|   University of Amsterdam None,Machine Learning| Artificial Intelligence| Statistics,31630, uva.nl,68,169,2020,1995
Kezhi Mao,Professor of Machine Learning|   Nanyang Technological University None,machine learning| information extraction| information fusion,3675, ntu.edu.sg,24,38,2020,1998
Sotirios Tsaftaris|  Chair in Machine Learning and Computer Vision,The  University of Edinburgh None,deep learning| computer vision| machine learning| image analysis| medical image computing,2477, ed.ac.uk - ,26,58,2020,2000
Daniel Dahlmeier,SAP Leonardo Machine Learning Machine Learning None,Machine Learning| Natural Language Processing,1462, sap.com,21,25,2019,2004
Fang-Chieh Chou,Machine Learning Engineer|  Uber ATG Homepage None,Deep Learning| Machine Learning| Computational Biochemistry,1130, alumni.stanford.edu - ,16,20,2020,2008
Rushi Bhatt,Amazon Machine Learning None None,,827, amazon.com,12,13,2018,1998
Kristian Flikka,Machine learning developer at Equinor ASA Homepage None,Machine learning| programming| testing| bioinformatics| mass spectrometry,688, flikka.net - ,10,10,2010,2002
Maia Angelova,Professor of Data Analytics and Machine Learning  Deakin University None,Data Analytics| Network Physiology| Biomatematics| Mathematical Physics| Bioinformatics,600, deakin.edu.au - ,15,18,2020,1982
Bruno Costa,Software Engineer (Machine Learning) -  Facebook None,Machine Learning| Computational Intelligence| Computer Vision| Evolving Systems| Fuzzy Systems,492, fb.com,11,11,2020,2004
Alaa Saade,Senior Machine Learning Scientist at snips.ai Homepage None,Statistical physics of disordered systems| machine learning,417, snips.ai - ,9,9,2019,2014
Tamer Alkhouli,Machine Learning Scientist|  AppTek Homepage None,neural machine translation| language modeling| natural language processing| natural language understanding,347, cs.rwth-aachen.de - ,11,11,2018,2011
Amir Meimand|  Ph.D.,Strategic Sales Consultant|  Machine Learning and Predictive Analytics Homepage None,Application of game theory in Revenue Management| Freight Transportation| Supply Chain Network Design,312, tableau.com - ,5,5,2014,2008
Babajide Ayinde,Senior Machine Learning Scientist at Echonous Deep Learning None,Deep Learning| Computational Intelligence| Sensor Networks,273, louisville.edu,11,11,2020,2014
Urs Bergmann,Machine Learning Lead|  Zalando Research Machine Learning None,Machine Learning| Generative Adversarial Networks| Probabilistic Models| Reinforcement Learning,247, zalando.de,7,5,2020,2006
Michael Hofmann,Machine Learning R&D|  TomTom machine learning None,machine learning| computer vision,217, tomtom.com,5,4,2019,2009
Kai Xiao,Machine Learning Engineer|   Apple None,Computer Graphics| Real Time Rendering| Parallel Computing| GPGPU| DirectX,182, apple.com,7,5,2020,2004
Jordi Grau-Moya,Senior Machine Learning Researcher at PROWLER.io Homepage None,Reinforcement Learning| Machine Learning| Information Theory,159, prowler.io - ,7,7,2019,2011
Raziur Rahman,Machine Learning & Computational Biology Research Fellow|   Argonne National Laboratory None,Computational Biology| Machine Learning| Bioinformatics| Precision Medicine| Predictive Modeling,160, anl.gov - ,7,6,2019,2014
Jose A. Arjona-Medina,Institute for Machine Learning.  Johannes Kepler University None,Reinforcement Learning| Machine Learning,163, ml.jku.at - ,5,2,2019,2016
Mohammad Najafi,Postdoctoral Machine Learning Researcher at the University of Oxford Computer Vision None,Computer Vision| Machine Learning,163, anu.edu.au,7,5,2019,2012
Guillem Francès,Artificial Intelligence and Machine Learning Group|   Universitat Pompeu Fabra|  Barcelona None,Artificial Intelligence| Automated Planning,163, upf.edu,7,6,2020,2007
Soroosh Rezazadeh|  PhD,Big data and Machine learning developer Homepage None,Machine learning| Deep learning| Big data| Data engineering| Software engineering,164,No verified email - ,9,9,2015,2006
Yuchun Li,Machine Learning at Google LLC. Autonomous Systems None,Autonomous Systems| Hybrid Systems| Estimation| Distributed Systems| Sampled Data Control,165, email.arizona.edu,9,6,2019,2010
Felix Leibfried,Senior Machine Learning Researcher at PROWLER.io Homepage None,machine learning| artificial intelligence| deep learning| reinforcement learning,166, prowler.io - ,7,7,2020,2015
Ning Zhang,Machine Learning Scientist|  IQVIA Machine Learning None,Machine Learning| Deep Learning| Multimedia,166, cs.uml.edu,4,4,2020,2012
Danial Sabri Dashti,Machine Learning Scientist at  Amazon None,Statistical Physics| Markov Models| Statistical Learning| Reinforcement Learning| Enhanced Sampling,166, amazon.com,6,5,2014,2006
Jay Hennig,Program in Neural Computation and Machine Learning|   Carnegie Mellon University None,computational neuroscience| brain-machine interfaces,167, cmu.edu - ,5,4,2019,2010
Huifeng Sun,Recommender System|  Machine Learning None None,,167,No verified email,5,4,2012,2011
Darshan Hegde,Machine Learning Engineer at Uber Advanced Technologies Group Homepage None,Machine Learning| Deep Learning,168, uber.com - ,1,1,2019,2014
Greg Langmead,Machine Learning Engineer|  Apple Inc. Homepage None,Mathematical physics| differential geometry| category theory| machine translation| machine learning,168, langmead.info - ,5,5,2019,2002
Fedor Zhdanov,Machine Learning Scientist|   Amazon None,Machine Learning| Active Learning| Computer Vision,168, amazon.com,7,5,2020,2008
Bobby Kim,Machine Learning Engineer / Research Scientist|  Bloomberg LP Computational Biophysics None,Computational Biophysics| Machine Learning,168, rice.edu,5,5,2016,2013
MAHMOUDI Issam,Machine learning & Data science student|   Paris Descartes University None,Machine Learning| Deep Learning| Data Science| AI,169, etu.parisdescartes.fr,2,2,2020,2018
Maximilian Ilse,PhD candidate in Deep Learning|   University of Amsterdam None,medical imaging| deep learning| machine learning,169, uva.nl,3,1,2020,2017
Niklas Kasenburg,Machine Learning Specialist|  Alexandra Institute|  Copenhagen Homepage None,Data Science| Machine Learning| Artifical Intelligence| Bioinformatics,171, alexandra.dk - ,4,3,2019,2013
Dr. Abhay Kumar Alok (Machine Learning Scientist),|  Deakin University Austrailia Indian Institute of  Technology Patna None,Clustering| Multiobjective Optimization| Deep Learning| NLP| Predictive modeling,172, iitp.ac.in - ,8,8,2017,2012
Behnaz Nojavanasghari,Machine Learning Reseacher|  Apple Inc Homepage None,Machine Learning| Computer Vision| Affective Computing| HCI,174, cs.cmu.edu - ,5,5,2018,2013
Adarsh Prasad,PhD Student|  Machine Learning Department|   Carnegie Mellon University None,Statistical Machine Learning| Machine Learning| Artificial Intelligence,174, andrew.cmu.edu - ,6,5,2019,2014
Sabrina Hoppe,Bosch Corporate Research|  Machine Learning & Robotics Lab|  University of Stuttgart Homepage None,Robotics| Machine Learning| Cognitive Science,175, de.bosch.com - ,6,6,2019,2013
Jay Patel,Stanford AI|  Machine Learning at Palantir Computer Vision None,Computer Vision| Artificial Intelligence| Defense| Government,176, palantir.com,2,1,2019,2014
Jonathan Harper,Machine Learning|  Unity Technologies reinforcement learning None,reinforcement learning| visualization| human-computer interaction,176, unity3d.com,7,6,2019,2010
Boros Tiberiu,Machine Learning Engineer at  Adobe None,Artificial Intelligence| Speech| Machine Learning| Text-to-speech Synthesis| Speech Recognition,176, adobe.com,8,4,2020,2008
Soumyadeep Chatterjee,Data Scientist - Machine Learning|  Quora Inc. Machine Learning None,Machine Learning| Artificial Intelligence| Statistics| Data Mining,181, umn.edu,6,6,2017,2009
Celine Craye,Dr|  Deep learning engineer Homepage None,Artificial intelligence| Cognitive robotics| Computer vision,182, ensta-paristech.fr - ,7,7,2019,2013
Yile (Yi) Gu,Machine Learning Scientist|   Amazon None,Computational Modeling| Scientific Computing| Computational Fluid Dynamics,182, amazon.com,8,7,2019,2012
Qian You,Machine Learning Scientist|   Amazon.com |  Snap Inc.,Machine learning| deep learning and optimization,182, amazon.com,6,3,2018,2007
Reza Rashidi Far,Principal Software Developer - Machine Learning|  LeddarTech Machine Learning None,Machine Learning| Estimation and Detection| Random Matrices| Probability and Statistics,184,No verified email,4,3,2011,2003
Kamelia Aryafar|  Ph.D.,Chief Algorithms Officer|  Head of Machine Learning/Data Science at Overstock Computer Science None,Computer Science| Machine Learning| Pattern Recognition| Computer Vision| AI,184, overstock.com,7,4,2019,2011
Rajyashree Mukherjee,Manager|  Applied Machine Learning|   eBay None,Machine Learning| Recommender Systems| Information Retrieval,186, ebay.com,7,7,2018,2005
He (Crane) Huang,Machine Learning Researcher at Apple Homepage None,Computational modeling| Bayesian Models| Optimal Control| Decision-making| Affective Disorder,189, ucsd.edu - ,7,6,2017,2010
Thi Duong Nguyen,Machine Learning Engineer Machine Learning None,Machine Learning| Deep Learning| Robotics,189, uber.com,7,6,2020,2011
Paras Tiwari,Senior Machine Learning Engineer|  Williams-Sonoma Inc Optimization None,Optimization| Data Mining| Machine Learning,190, wsgc.com,5,4,2016,2005
Clyde Bango,Artificial Intelligence and Machine Learning (AI/ML) for GSK Pharma R&D AI / machine learning None,AI / machine learning| oncology| immunology| pathology| genomics,192,No verified email,6,6,2019,2017
Farzana Anjum,Machine Learning  Enthusiast Homepage None,Data Scientist| Artificial Intelligence| Machine Learning| Deep Learning,193,No verified email - ,5,5,2012,2006
Philipp Seegerer,Doctoral Researcher|  Machine Learning Group|   TU Berlin None,Machine Learning| Computational Pathology| Medical Image Analysis,194, tu-berlin.de,6,4,2020,2014
José Ricardo Valdés Martiní,Machine Learning Engineer at SteelBridge Consulting Homepage None,Computer Science| Machine Learning| Evolutionary Computation| Cheminformatics,195, SteelBridgeConsulting.com - ,8,8,2020,2010
Austin Waters,PhD in Machine Learning|  University of Texas at Austin (now at  Google ),Machine Learning| Language Modeling| Sequence-to-Sequence Models,196, google.com - ,5,5,2020,2010
Don M. Dini,Applied Machine Learning @ Lyft Homepage None,Computer Science| Machine Learning| Reinforcement Learning,197, dmdini.com - ,4,3,2020,2005
Javier Turek,Research Scientist in Machine Learning at Intel Labs Homepage None,Machine Learning| Recurrent Neural Networks| Unsupervised Learning,197, intel.com - ,9,9,2020,2007
Alice Coucke,Head of machine learning research at Sonos|  Inc. Homepage None,statistical physics| machine learning| spoken language understanding| keyword spotting| natural language processing,199, sonos.com - ,7,6,2020,2016
Benjamin H. Groh,Machine Learning and Data Analytics Lab|   Friedrich-Alexander-Universität Erlangen-Nürnberg None,Machine Learning| Wearable Computing| Sports Analytics| Data Fusion| Localization,200, fau.de - ,9,7,2019,2014
Pooya Davoodi,|  Machine Learning Engineer Apple None,Machine learning backend| GPU acceleration| Memory-efficient data structures| Range query data structures,200, apple.com - ,8,7,2017,2007
Vivien Seguy,PhD in Machine Learning|   Kyoto University None,Machine Learning| Optimal Transport,201, iip.ist.i.kyoto-u.ac.jp - ,6,5,2020,2015
Ming Yang,Research Scientist|  Machine Learning at Facebook signal processing None,signal processing| computer architecture| machine learning,203, asu.edu,9,9,2017,2008
Karthik Gurumoorthy,Machine Learning Scientist|  Amazon Development Center Signal Processing None,Signal Processing| Machine Learning| Optimization| Sparse representation| Kalman Filtering,206, amazon.com,8,6,2019,2008
Ioakeim Perros,Lead Machine Learning Scientist|  HEALTH[at]SCALE Homepage None,Machine Learning for Healthcare| Tensor Factorization,207, gatech.edu - ,8,8,2020,2014
Caroline Pacheco do E.Silva,Ph.D. on Computer Vision and Machine Learning Homepage None,Computer Vision| Machine Learning and Pattern Recognition and,207, univ-lr.fr - ,6,4,2018,2010
Rushdi Shams,Sr. Machine Learning Engineer natural language processing None,natural language processing| deep learning| machine learning| information retrieval| information extraction,208, oneclass.com,8,7,2016,2007
Max Pagels,Machine Learning Partner|  Fourkind Homepage None,Software Engineering| Software Measurement| Machine Learning,209, fourkind.com - ,6,5,2016,2013
Bastian Rieck,Machine Learning & Computational Biology Lab|  D-BSSE|   ETH Zürich None,Machine learning| Computational topology| Topological data analysis| Visualization| Computational biology,209, bsse.ethz.ch - ,9,9,2020,2010
Pengfei Dou,Senior Machine Learning Engineer @  Apple Inc .,Machine Learning| Deep learning| Computer vision,210, apple.com,7,5,2019,2014
Simin Ahmadi Karvigh,PhD ( University of Southern California )|  Machine Learning @ Apple,Machine Learning| Artificial intelligence| Automation| Smart Buildings| Building Energy Efficiency,211, usc.edu,6,6,2019,2014
Matthias Seibert,Doctoral Candidate at the Professorship for Geometric Optimization and Machine Learning at  TUM None,Machine Learning| Sparse Coding,214, tum.de,5,3,2019,2013
David Lanyi,Machine Learning Methods|  Continental ADAS AI artificial intelligence None,artificial intelligence| machine learning| deep learning,217, continental.com,5,5,2019,2013
Rishi Bedi,Machine Learning for Therapeutics Discovery Homepage None,machine learning| drug discovery| immunology,217, cs.stanford.edu - ,6,5,2019,2009
mehmet umut caglar,Lead Data Scientist & Machine Learning Engineer @ State Street Corp. Data Science & Machine Learning None,Data Science & Machine Learning,217, statestreet.com,5,4,2019,2010
Sina Zarrieß,Professor for Digital Humanities|  Machine Learning and Language Technology|   University of Jena None,Computational linguistics| machine learning| language generation| dialogue computational semantics,219, uni-jena.de - ,8,5,2020,2006
Mostafa Mohammadi,Postdoctoral Fellow at  Freie Universität Berlin |  Dahlem Center for Machine Learning and Robotics,Autonomous Robotics| Self-Driving Car| Aerial Robotics| Grasping.,219, zedat.fu-berlin.de - ,8,8,2019,2012
Jyh-Ying Peng,Machine Learning Scientist|  Amazon China Time Series Analysis None,Time Series Analysis| Statistical Machine Learning| Computational Advertising,221, amazon.com,6,5,2014,2004
Xi Chen,Lecturer in Machine Learning and Data Science|   University of Bath None,Statistical signal processing| Bayesian inference & reasoning| Monte Carlo methods| Machine Learning| Sampling Techniques,221, bath.ac.uk - ,5,3,2019,2011
Trung V. Nguyen,Machine Learning|  ANU and  NICTA None,Machine Learning| Gaussian Processes| Approximate Inference| Artificial Intelligence,221, nicta.com.au - ,5,5,2016,2003
Guido Schwenk|  PhD.,Machine Learning Engineer Machine Learning None,Machine Learning| Security| Data Analysis| Data Visualization,221, tu-berlin.de,4,4,2020,2010
Mahdi Milani Fard,Machine Learning Researcher|   Google Inc .,Machine Learning| Reinforcement Learning| Statistical Learning Theory,222, google.com - ,10,10,2020,2006
chengyin li,PhD student of machine learning|  The Chinese University of Hong Kong|  Shenzen Machine learning None,Machine learning| deep learning| particles,223, link.cuhk.edu.cn,6,5,2017,2014
Manuel Lopez-Martin,Machine Learning Researcher|  Universidad Valladolid|  Spain Homepage None,machine learning| deep learning| data science,223, acm.org - ,6,3,2020,1993
Shreyansh Bhatt,Machine Learning Scientist|   Amazon.com None,Graph Algorithms| Machine Learning| Distributed Graph Databases| Artificial Intelligence,224, amazon.com,7,6,2020,2011
chunlei li,Applied Machine Learning|   Apple None,Mathematics| Statistics| Machine Learning| Recommender System,225, apple.com,6,6,2020,2010
Balaji Polepalli Ramesh,VP Data Science|  NLP/Machine Learning Scientist at BlackRock Natural Language Processing None,Natural Language Processing| Machine Learning| Text mining| Information Retrieval and Extraction| Health Literacy,225, umassmed.edu,10,10,2018,2009
Milos Radovic,Machine learning engineer at Everseen Machine learning None,Machine learning| Data mining,228, kg.ac.rs,7,5,2019,2001
Gianni Barlacchi,Machine Learning Scientist at Amazon Alexa Homepage None,natural language processing| machine learning| human mobility,228, amazon.com - ,7,4,2020,2013
Anders Mollgaard,Machine learning scientist at SupWiz|  Copenhagen. Mathematical modelling None,Mathematical modelling| Machine learning| Complex networks| Computational social science,228, supwiz.com,7,7,2018,2013
Salim Chemlal|  Ph.D.,Deep Learning Researcher / Adjunct Professor|  MSVE Department|   Old Dominion University None,Machine Learning| Deep Learning| Simulation in Healthcare,229, odu.edu,4,2,2016,2010
Kai Hui,Machine Learning Scientist|  Amazon Alexa Search Homepage None,Information Retrieval| Natural Language Processing,231, amazon.com - ,8,8,2019,2010
Jean-François Connolly,Data Scientist|  Machine Learning Machine learning and optimization None,Machine learning and optimization,232, livia.etsmtl.ca,8,6,2013,2008
Cheng-Lung Jen,Senior AI Machine Learning and Computer Vision Engineer|  Office Chief of Technology Officer Homepage None,Deep Learning| Machine Larning| Computer Vision,233, mediatek.com - ,8,6,2014,2005
Luke Oakden-Rayner,Australian Institute for Machine Learning.  University of Adelaide . Royal Adelaide Hospital.,Radiology| Image Analysis| Machine Learning| Deep Learning| Medical Informatics,237, adelaide.edu.au - ,9,8,2020,2016
Zak Costello,Machine Learning Scientist|  Generate Biomedicines Synthetic Biology None,Synthetic Biology| Control Theory| Machine Learning| Experimental Automation,238, lbl.gov,7,6,2020,2012
Kyle Ellefsen,Machine Learning Software Engineer|   Google None,Machine Learning,241, google.com - ,8,7,2019,2011
Kira Mourão,Senior Machine Learning Scientist|  Askbio Ltd Bioinformatics None,Bioinformatics| Artificial Intelligence| Machine Learning| Cognitive Robotics,241, askbio.com,6,5,2014,2006
Vladimir Curic,Lead Engineer - Machine Learning/AI|  Klarna Homepage None,Image Analysis| Computer Vision| Machine Learning| Mathematical Modelling,243, klarna.com - ,9,8,2017,2006
Ephraim Iorkyase,PhD in Application of Machine Learning|   University of Strathclyde |  UK,Machine and Deep learning| Data analytics| Internet of Things| Wireless sensor networks| and Intelligent Condition monitoring,244, strath.ac.uk,6,4,2019,2015
Foteini Simistira Liwicki,|  EISLAB|  Machine Learning Luleå University of Technology None,machine learning| handwriting recognition| mathematical expression recognition| document analysis,244, ltu.se - ,9,9,2020,1997
Ayman AbuBaker,Assoc. Prof. of Image Processing and machine Learning|   Applied Science Private University None,Image processing| Machine learning,245, asu.edu.jo,8,6,2020,2006
Héctor Rodríguez-Déniz,Division of Statistics and Machine Learning|   Linköping University None,Transportation Networks| Machine Learning| Statistics,245, liu.se,10,10,2019,2012
Kavitha MS,JSPS- Department of Pattern Recognition and Machine Learning|   Hiroshima University None,,247, hiroshima-u.ac.jp,7,7,2020,2010
Georgios Douzas,Machine Learning Researcher Machine Learning None,Machine Learning,248, novaims.unl.pt,6,4,2019,2008
Darko Stosic,Deep Learning Compute Architect|  Nvidia None None,,248, bu.edu,8,8,2019,2015
Chih-Kuan Yeh,PhD|  Machine Learning Department|   Carnegie Mellon University None,machine learning| Interpretability,249, cs.cmu.edu,6,6,2020,2017
Saba Emrani,Machine Learning Engineer at Apple Signal Processing None,Signal Processing| Machine Learning| Data Mining| Control Systems| Robotics,249, ncsu.edu,9,9,2019,2003
Seyed Mehran Kazemi,Machine Learning Researcher at Borealis AI Homepage None,Machine Learning| Knowledge Graphs| Relational Learning| Graph Neural Networks,253, cs.ubc.ca - ,8,7,2020,2013
Kyriakos Chatzidimitriou,Software Architect and Machine Learning Researcher Homepage None,Machine Learning| Software Engineering,253, issel.ee.auth.gr - ,9,8,2019,2004
Keyvan Golestan,Machine Learning Scientist|  Layer 6 AI Computer Vision None,Computer Vision| Medical Image Processing| Deep Learning| Probabilistic Graphical Models| Knowledge Extraction and Information F,255, uwaterloo.ca,9,9,2016,2012
Thomas Nickson,Machine Learning Engineer|   Apple None,Machine learning,257, apple.com,5,5,2017,2014
Rishabh Gupta,Sr. Machine Learning Scientist at Swift Medical Human Computer Interaction None,Human Computer Interaction| Machine Learning| Affective Computing| QoE| Biomedical Engineering,258, swiftmedical.com,10,10,2019,1990
Nutan Chen,Machine Learning Research Lab|  Volkswagen Group Machine learning None,Machine learning| Robotics,258, volkswagen.de,7,7,2020,2012
Elliott Forney,Machine Learning Engineer - IBM Watson Homepage None,Machine Learning| Artificial Intelligence| Brain-Computer Interfaces| Natural Language Processing| Artificial Neural Networks,258, cs.colostate.edu - ,6,4,2019,2011
Vincent ADAM,Machine Learning Researcher at Prowler.io Homepage None,Machine Learning| Cognitive Science,259, prowler.io - ,5,5,2020,2014
Carlos Maestre,Machine learning engineer|  PhD Artifical Intelligence None,Artifical Intelligence| Deep learning| Probabilistic methods| Robotics| Autonomous vehicle,260, valeo.com,4,3,2019,2011
Thomas W Rogers,Quantum Machine Learning Scientist at Rahko Homepage None,Image Processing| Computer Vision| Machine Learning| Quantum Chemistry,261, rahko.ai - ,9,9,2020,2014
Seul-Ki Yeom, - Machine Learning Group Technische Universität Berlin None,Brain-Computer Interfaces| Machine Learning| Deep Learning,261, tu-berlin.de,6,5,2019,2011
Pararth Shah,Machine Learning Engineer|   Facebook  Assistant,Artificial Intelligence| Natural Language Processing| Dialogue Management| Reinforcement Learning| Graph Databases,262, fb.com,9,9,2019,2013
Vahid Taslimitehrani,Machine Learning Scientist at PhysioSigns Inc. Homepage None,Machine Learning| Data Mining| HealthCare,262, physiosigns.com - ,8,7,2017,2008
Sarfaraz Hussein,Visual AI|  Machine Learning|  Deep Learning Homepage None,Machine Learning| Medical Imaging| Computer Vision| Deep Learning,263, knights.ucf.edu - ,7,7,2020,2015
Pranjul Yadav,Machine Learning|   Google None,Data Mining| Machine Learning| Applications in E-Commerce,264, google.com,7,5,2020,2008
José Portêlo,Lead Machine Learning Engineer|  Link Redglue Machine Learning None,Machine Learning| NLP| Data Science| Data Privacy| Cryptography,265, clix.pt,8,7,2018,2008
Davood Hajinezhad,Machine Learning Researcher and Developer Homepage None,Reinforcement Learning| Nonconvex Optimization| Distributed Optimization| Machine learning| Parallel Computing,267, sas.com - ,8,8,2019,2011
Seyed Jalaleddin Mousavirad,Independent Consultant and Researcher on Optimization|  Machine Learning|  and Image Processing  Homepage None,Evolutionary Computation| Large-Scale Optimization| Computational Intelligence| Machine Learning| Image Processing,267, grad.kashanu.ac.ir - ,9,8,2020,2011
Shahab Sheikh-Bahaei,Principal Machine Learning Architect|  WootCloud Inc. Homepage None,Machine Learning| Artificial Intelligence,269, berkeley.edu - ,9,9,2011,2003
Leo van Nierop,Consultant machine learning|  QBiz Netherlands Machine Learning None,Machine Learning| Physics,270, qbiznl.com,10,10,2014,2005
Vineeth Rakesh,Researcher|  Machine Learning & AI Labs|   Interdigital None,Data Mining| Machine Learning| Generative Models| Graphical Models| Recommender Systems,270, interdigital.com - ,9,8,2019,2013
Idris El-Feghi,Computer Vision & Machine Learning Researcher Homepage None,Computer Vision| Machine Learning and Optimization,270, misuratau.edu.ly - ,8,6,2015,1999
Arindam Paul,Machine Learning Scientist|  American Family Insurance Homepage None,Machine Learning| Deep Learning| NLP,270, amfam.com - ,9,9,2019,2011
Felix Kluge,Machine Learning and Data Analytics Lab|  Department of Computer Science|  Friedrich-Alexander Homepage None,Machine Learning| Statistics| Biomechanics| eHealth| Sports Analytics,272, fau.de - ,8,7,2020,2013
Braden Hancock,Machine Learning Researcher|   Stanford University None,Machine Learning Systems| Weak Supervision| Multi-task Learning| Transfer Learning| Natural Language Processing,273, cs.stanford.edu - ,10,10,2019,2012
Mohit Kumar Pandey,Machine Learning Scientist|  Weill Cornell Medicine Natural Language Processing None,Natural Language Processing| Machine Learning| Cardiovascular Imaging| Deep learning,276, med.cornell.edu,8,7,2020,1959
Dr. Monica  Mundada,Off-Shore Head for Artificial Intelligence and Machine learning Homepage None,Machine Learning and Natural language processing,276, vsoftconsulting.com - ,11,15,2018,2013
Carlos Guerrero-Mosquera,Senior consultant in AI & Machine learning. Machine Learning None,Machine Learning| Computer Vision| AI| Cognitive neuroscience| Neuroimaging,278, salle.url.edu,9,7,2019,2000
Naveen Shankar Nagaraja,Senior Machine Learning Engineer|  BMW Group Homepage None,Computer Vision| Machine Learning,278, informatik.uni-freiburg.de - ,3,3,2020,2010
Kenneth Marino,PhD Student in Machine Learning|   Carnegie Mellon University None,Computer Vision| Machine Learning,282, cs.cmu.edu - ,3,3,2019,2014
Dusan Stosic,Deep Learning Compute Architect|  Nvidia None None,,283, bu.edu,9,9,2019,2015
Alistair Reid,Machine Learning Researcher|   NICTA None,Machine Learning| Gaussian Processes| Field Robotics,284, nicta.com.au,8,6,2020,2008
Roger Frigola,Machine Learning at www.rogerfrigola.com Homepage None,Machine Learning| Optimization| Control,284, rogerfrigola.com - ,6,6,2015,2008
Mihail Eric,Machine learning scientist @ Amazon Alexa AI Homepage None,Artificial Intelligence| Natural Language Understanding,285, cs.stanford.edu - ,5,5,2019,2014
Yatao A. Bian,Institute for Machine Learning at Computer Science|   ETH Zurich None,Machine learning| Continuous submodularity| Decentralized/Federated AI,285, inf.ethz.ch - ,8,7,2019,2012
Chang Liu,Sr. Machine Learning Engineer|  IQVIA;  University of Massachusetts|  Lowell None,Machine Learning| Deep Learning| Data Mining| Healthcare Applications,287, cs.uml.edu - ,5,5,2020,2016
Ke Yuan,Lecturer in Machine Learning and Computational Biology|   University of Glasgow None,Machine Learning| Bayesian Inference| Cancer Genomics| Computational Biology,288, glasgow.ac.uk - ,9,9,2020,2009
Xu Chen,Senior Machine Learning Developer|   SAS None,Computer Vision| Machine Learning| Data Mining| Signal Processing,288, sas.com,8,7,2020,2002
Mohammad Gudarzi|  PhD,Machine Learning Engineer at Kelzal Homepage None,Signal processing| Algorithm development| Intelligent systems| Control design| Instrumentation,288, pitt.edu - ,10,12,2019,2010
Alexander Rakhlin,Machine Learning Engineer|  Researcher Homepage None,Deep Learning| Machine Learning for Healthcare| Computer Vision,291, neuromation.io - ,6,6,2020,2018
Abozar Nasirahmadi,Head of Machine Learning and Smart Systems in Agriculture|   University of Kassel None,Artificial intelligence| Machine vision| Precision livestock farming| Precision agriculture,291, uni-kassel.de - ,10,10,2020,2011
Felix Hieber,Machine Learning Manager|   Amazon None,Machine Translation| Deep Learning| Information Retrieval,291, amazon.com,11,11,2019,2010
Omid Jahromi,Sr Machine Learning Engineer|  Belkin International Inc Signal Processing None,Signal Processing| Machine Learning| Optics| Statistics| Applied Mathematics,294, belkin.com,10,10,2019,1998
Seyed Mehdi Iranmanesh,Machine Learning Engineer|    West Virginia University None,Deep Learning| Computer Vision| Machine Learning,296, mix.wvu.edu,8,8,2020,2009
Reza Shoja Ghiass,Senior Sotware Engineer (Machine Learning and Computer Vision) |  Zebra Technologies Computer Vision None,Computer Vision| Machine Learning| Face Recognition and Tracking,300, ulaval.ca,7,6,2020,2008
Anders Hansson,Senior Machine Learning Engineer at Zenuity Information Theory None,Information Theory| Computer Science| Machine Learning,302, zenuity.com,9,8,2012,1999
Andru Putra Twinanda,Deep learning engineer|  COSMONiO Computer vision None,Computer vision| machine learning,304, cosmonio.com,8,4,2018,2013
Zhengping Ji,Director of Machine Learning|  Motorola Machine Learning None,Machine Learning| AI| Computer Vision| ASR,304, lenovo.com,7,6,2015,2006
Woosang Lim,Senior Applied Machine Learning Scientist in  Apple None,Representation Learning| Multi-Modal Learning| Machine Learning| Optimization,307, apple.com - ,4,2,2018,2011
Oguz Semerci,Machine Learning|  Spotify Big Data Analytics None,Big Data Analytics| Machine Learning| Imaging| Inverse Problems| Signal Processing,307, spotify.com,6,4,2020,2002
Elliot J. Crowley,Lecturer in Machine Learning and Computer Vision|   University of Edinburgh None,Machine Learning| Deep Learning| Computer Vision,310, ed.ac.uk - ,9,9,2020,2013
Max Horn,PhD Student in Machine Learning and Computational Biology|   ETH Zürich None,Artificial Intelligence| Computational Biology| Machine Learning| Synthetic Biology,310, bsse.ethz.ch - ,5,4,2020,2015
Karen Hambardzumyan,Machine Learning Researcher|  YerevaNN Homepage None,natural language processing| deep neural networks,312, yerevann.com - ,2,1,2019,2016
Ajendra Dwivedi|  PhD.,Machine Learning and Systems Engineer Homepage None,Complex Network Theory| Machine Learning| Artificial Intelligence,312, ieee.org - ,7,7,2011,2008
Stephan Peitz,Machine Learning Engineer at  Apple  (Machine Translation),Machine Translation| Neural Machine Translation| Speech Translation,313, apple.com - ,9,9,2019,2010
